domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
biblidinae.online,Network activity,,,,,,,domain,
bibliota.ru,Network activity,,,,,,,domain,
biiter.ru,Network activity,,,,,,,domain,
bikestr.ru,Network activity,,,,,,,domain,
bikortas.ru,Network activity,,,,,,,domain,
bilargo.ru,Network activity,,,,,,,domain,
bilorotka.ru,Network activity,,,,,,,domain,
biontra.ru,Network activity,,,,,,,domain,
bitsadmin2.space,Network activity,,,,,,,domain,
bitsadmin3.space,Network activity,,,,,,,domain,
bitsadmin4.space,Network activity,,,,,,,domain,
bitsbitsa.space,Network activity,,,,,,,domain,
bitsbitsb.space,Network activity,,,,,,,domain,
bitsbitsc.space,Network activity,,,,,,,domain,
bitsbitsd.space,Network activity,,,,,,,domain,
bitsbitsi.space,Network activity,,,,,,,domain,
bitsbitsk.space,Network activity,,,,,,,domain,
bitsbitsl.space,Network activity,,,,,,,domain,
blaberidae.online,Network activity,,,,,,,domain,
blaberidae.ru,Network activity,,,,,,,domain,
blattodea.online,Network activity,,,,,,,domain,
blattodea.ru,Network activity,,,,,,,domain,
blockpost.site,Network activity,,,,,,,domain,
blockpost.space,Network activity,,,,,,,domain,
blockpost.website,Network activity,,,,,,,domain,
blositro.ru,Network activity,,,,,,,domain,
bluera.ru,Network activity,,,,,,,domain,
bluestah.ru,Network activity,,,,,,,domain,
bobotal.ru,Network activity,,,,,,,domain,
boiss.xyz,Network activity,,,,,,,domain,
bokujanai.ru,Network activity,,,,,,,domain,
bokuwai.ru,Network activity,,,,,,,domain,
bolotran.ru,Network activity,,,,,,,domain,
boltorg.ru,Network activity,,,,,,,domain,
bombinator.xyz,Network activity,,,,,,,domain,
bombinators.xyz,Network activity,,,,,,,domain,
bonitol.online,Network activity,,,,,,,domain,
boniton.site,Network activity,,,,,,,domain,
borsina.ru,Network activity,,,,,,,domain,
bortogat.ru,Network activity,,,,,,,domain,
botaurus.online,Network activity,,,,,,,domain,
botulina.ru,Network activity,,,,,,,domain,
brachycera.online,Network activity,,,,,,,domain,
brasiliensisi.xyz,Network activity,,,,,,,domain,
bratseth.ru,Network activity,,,,,,,domain,
brevib.ru,Network activity,,,,,,,domain,
brevisi.ru,Network activity,,,,,,,domain,
brontaga.ru,Network activity,,,,,,,domain,
brucel.ru,Network activity,,,,,,,domain,
buffalor.ru,Network activity,,,,,,,domain,
bufol.xyz,Network activity,,,,,,,domain,
bugarto.ru,Network activity,,,,,,,domain,
buhse.xyz,Network activity,,,,,,,domain,
burhinus.online,Network activity,,,,,,,domain,
buruncha.ru,Network activity,,,,,,,domain,
butyri.ru,Network activity,,,,,,,domain,
caimana.xyz,Network activity,,,,,,,domain,
calamusi.xyz,Network activity,,,,,,,domain,
calamuss.xyz,Network activity,,,,,,,domain,
calendas.ru,Network activity,,,,,,,domain,
callichthys.xyz,Network activity,,,,,,,domain,
camama.ru,Network activity,,,,,,,domain,
campestri.online,Network activity,,,,,,,domain,
camphorat.xyz,Network activity,,,,,,,domain,
canadensis.website,Network activity,,,,,,,domain,
canalas.ru,Network activity,,,,,,,domain,
candidar.ru,Network activity,,,,,,,domain,
capillaceum.xyz,Network activity,,,,,,,domain,
carassiusis.xyz,Network activity,,,,,,,domain,
carassiuss.xyz,Network activity,,,,,,,domain,
cardamomum.xyz,Network activity,,,,,,,domain,
carinatus.online,Network activity,,,,,,,domain,
carolinensis.online,Network activity,,,,,,,domain,
caspius.xyz,Network activity,,,,,,,domain,
catechur.xyz,Network activity,,,,,,,domain,
ceerdi.ru,Network activity,,,,,,,domain,
cephalotes.xyz,Network activity,,,,,,,domain,
cerambycidae.online,Network activity,,,,,,,domain,
cerambycidae.ru,Network activity,,,,,,,domain,
cereusi.online,Network activity,,,,,,,domain,
cereusi.ru,Network activity,,,,,,,domain,
chaetodon.xyz,Network activity,,,,,,,domain,
chahoda.ru,Network activity,,,,,,,domain,
chargata.ru,Network activity,,,,,,,domain,
chehalo.ru,Network activity,,,,,,,domain,
chelicerata.online,Network activity,,,,,,,domain,
chelicerata.ru,Network activity,,,,,,,domain,
cheric.ru,Network activity,,,,,,,domain,
cholerd.ru,Network activity,,,,,,,domain,
cichlasoma.online,Network activity,,,,,,,domain,
ciconiat.online,Network activity,,,,,,,domain,
cillium.ru,Network activity,,,,,,,domain,
circulas.online,Network activity,,,,,,,domain,
circulas.ru,Network activity,,,,,,,domain,
claviceps.xyz,Network activity,,,,,,,domain,
cliraco.ru,Network activity,,,,,,,domain,
clonorchis.online,Network activity,,,,,,,domain,
clostri.ru,Network activity,,,,,,,domain,
clupeonella.online,Network activity,,,,,,,domain,
coagula.online,Network activity,,,,,,,domain,
coagula.ru,Network activity,,,,,,,domain,
cobact.ru,Network activity,,,,,,,domain,
coeruleus.online,Network activity,,,,,,,domain,
coferto.ru,Network activity,,,,,,,domain,
coffiti.ru,Network activity,,,,,,,domain,
coleopteras.online,Network activity,,,,,,,domain,
coleopteras.ru,Network activity,,,,,,,domain,
coliadinae.online,Network activity,,,,,,,domain,
coliadinae.ru,Network activity,,,,,,,domain,
colista.ru,Network activity,,,,,,,domain,
cololabis.online,Network activity,,,,,,,domain,
comprando.ru,Network activity,,,,,,,domain,
conscindere.online,Network activity,,,,,,,domain,
coriandrum.xyz,Network activity,,,,,,,domain,
corintar.ru,Network activity,,,,,,,domain,
corolain.ru,Network activity,,,,,,,domain,
corvusi.online,Network activity,,,,,,,domain,
cotular.xyz,Network activity,,,,,,,domain,
creditals-email.space,Network activity,,,,,,,domain,
cristatus.xyz,Network activity,,,,,,,domain,
crocodilus.xyz,Network activity,,,,,,,domain,
crossobamon.xyz,Network activity,,,,,,,domain,
cryptonas.ru,Network activity,,,,,,,domain,
cterium.ru,Network activity,,,,,,,domain,
culosa.ru,Network activity,,,,,,,domain,
culosisa.ru,Network activity,,,,,,,domain,
cultiventris.online,Network activity,,,,,,,domain,
cuminum.xyz,Network activity,,,,,,,domain,
cyminum.xyz,Network activity,,,,,,,domain,
cynapiuma.xyz,Network activity,,,,,,,domain,
cyrestinae.online,Network activity,,,,,,,domain,
cyrestinae.ru,Network activity,,,,,,,domain,
dahla.ru,Network activity,,,,,,,domain,
dahmke.ru,Network activity,,,,,,,domain,
dambart.ru,Network activity,,,,,,,domain,
danainae.online,Network activity,,,,,,,domain,
danainae.ru,Network activity,,,,,,,domain,
dangeti.ru,Network activity,,,,,,,domain,
danirat.ru,Network activity,,,,,,,domain,
darvini.xyz,Network activity,,,,,,,domain,
debary.ru,Network activity,,,,,,,domain,
debarys.ru,Network activity,,,,,,,domain,
decursio.online,Network activity,,,,,,,domain,
derikan.ru,Network activity,,,,,,,domain,
desandra.ru,Network activity,,,,,,,domain,
destarro.ru,Network activity,,,,,,,domain,
detegro.ru,Network activity,,,,,,,domain,
devasil.ru,Network activity,,,,,,,domain,
devtato.ru,Network activity,,,,,,,domain,
differre.online,Network activity,,,,,,,domain,
difformis.online,Network activity,,,,,,,domain,
diletras.ru,Network activity,,,,,,,domain,
dintara.ru,Network activity,,,,,,,domain,
dionysi.online,Network activity,,,,,,,domain,
dipteran.online,Network activity,,,,,,,domain,
dipteran.ru,Network activity,,,,,,,domain,
dipterocarpus.xyz,Network activity,,,,,,,domain,
discedere.online,Network activity,,,,,,,domain,
discouti.online,Network activity,,,,,,,domain,
discrepare.online,Network activity,,,,,,,domain,
disjungere.online,Network activity,,,,,,,domain,
distorhan.ru,Network activity,,,,,,,domain,
diversiformis.online,Network activity,,,,,,,domain,
dividere.online,Network activity,,,,,,,domain,
djurhuus.ru,Network activity,,,,,,,domain,
dokkade.ru,Network activity,,,,,,,domain,
domasq.ru,Network activity,,,,,,,domain,
domonas.ru,Network activity,,,,,,,domain,
dophil.ru,Network activity,,,,,,,domain,
doriga.ru,Network activity,,,,,,,domain,
dortisto.ru,Network activity,,,,,,,domain,
doscotra.ru,Network activity,,,,,,,domain,
downloadfiles.website,Network activity,,,,,,,domain,
draagotan.ru,Network activity,,,,,,,domain,
dracod.xyz,Network activity,,,,,,,domain,
drumtar.ru,Network activity,,,,,,,domain,
duboisia.xyz,Network activity,,,,,,,domain,
dudocilo.ru,Network activity,,,,,,,domain,
dushnilo.ru,Network activity,,,,,,,domain,
earium.ru,Network activity,,,,,,,domain,
edoboku.ru,Network activity,,,,,,,domain,
eidoloni.ru,Network activity,,,,,,,domain,
elitoras.ru,Network activity,,,,,,,domain,
elmqvist.ru,Network activity,,,,,,,domain,
eluteria.xyz,Network activity,,,,,,,domain,
elvisar.ru,Network activity,,,,,,,domain,
email-gov.site,Network activity,,,,,,,domain,
email-inbox.site,Network activity,,,,,,,domain,
email-info.online,Network activity,,,,,,,domain,
email-online.site,Network activity,,,,,,,domain,
email-smtp.online,Network activity,,,,,,,domain,
emailinfo.site,Network activity,,,,,,,domain,
empusidae.online,Network activity,,,,,,,domain,
empusidae.ru,Network activity,,,,,,,domain,
emysi.online,Network activity,,,,,,,domain,
enarto.ru,Network activity,,,,,,,domain,
engardos.ru,Network activity,,,,,,,domain,
enterow.ru,Network activity,,,,,,,domain,
enterox.ru,Network activity,,,,,,,domain,
erati.ru,Network activity,,,,,,,domain,
ericsoni.ru,Network activity,,,,,,,domain,
erlanda.ru,Network activity,,,,,,,domain,
ermasa.ru,Network activity,,,,,,,domain,
erobact.ru,Network activity,,,,,,,domain,
erostipa.ru,Network activity,,,,,,,domain,
erunanikan.ru,Network activity,,,,,,,domain,
erwina.ru,Network activity,,,,,,,domain,
erwini.ru,Network activity,,,,,,,domain,
erythrocephala.online,Network activity,,,,,,,domain,
eryxis.online,Network activity,,,,,,,domain,
eschera.ru,Network activity,,,,,,,domain,
escheri.ru,Network activity,,,,,,,domain,
esoudak.ru,Network activity,,,,,,,domain,
eumr.site,Network activity,,,,,,,domain,
eurypterida.online,Network activity,,,,,,,domain,
eurypterida.ru,Network activity,,,,,,,domain,
eversmanni.xyz,Network activity,,,,,,,domain,
extrado.online,Network activity,,,,,,,domain,
exundare.online,Network activity,,,,,,,domain,
eyeofra.online,Network activity,,,,,,,domain,
facetum.online,Network activity,,,,,,,domain,
fanniidae.online,Network activity,,,,,,,domain,
fanniidae.ru,Network activity,,,,,,,domain,
faroinh.ru,Network activity,,,,,,,domain,
fartopart.ru,Network activity,,,,,,,domain,
fasciolas.online,Network activity,,,,,,,domain,
felineus.online,Network activity,,,,,,,domain,
ferrox.xyz,Network activity,,,,,,,domain,
ferruminatio.online,Network activity,,,,,,,domain,
ferruminatio.ru,Network activity,,,,,,,domain,
file-check.site,Network activity,,,,,,,domain,
filikato.ru,Network activity,,,,,,,domain,
filopar.ru,Network activity,,,,,,,domain,
filorta.ru,Network activity,,,,,,,domain,
fionar.xyz,Network activity,,,,,,,domain,
fiordan.ru,Network activity,,,,,,,domain,
firasto.ru,Network activity,,,,,,,domain,
firatoska.ru,Network activity,,,,,,,domain,
firtabo.ru,Network activity,,,,,,,domain,
fishara.ru,Network activity,,,,,,,domain,
fishardo.ru,Network activity,,,,,,,domain,
flatfish.site,Network activity,,,,,,,domain,
flatfisha.online,Network activity,,,,,,,domain,
