"domain","category","score","first_seen","last_seen","ports","ip","url","type","file_hash"
"","Network activity","1","","","","1.171.52.214","","ip-dst",""
"","Network activity","60","","","","1.215.228.230","","ip-dst",""
"","Network activity","1","","","","100.26.104.55","","ip-dst",""
"","Network activity","1","","","","100.26.135.215","","ip-dst",""
"","Network activity","1","","","","100.26.254.219","","ip-dst",""
"","Network activity","1","","","","100.26.52.184","","ip-dst",""
"","Network activity","1","","","","100.26.54.1","","ip-dst",""
"","Network activity","1","","","","100.27.33.187","","ip-dst",""
"","Network activity","1","","","","100.27.41.0","","ip-dst",""
"","Network activity","1","","","","100.27.46.72","","ip-dst",""
"","Network activity","40","","","","101.99.75.184","","ip-dst",""
"101gowrie.com","Network activity","100","","","","","","domain",""
"","Network activity","1","","","","102.135.142.20","","ip-dst",""
"","Network activity","1","","","","102.53.24.35","","ip-dst",""
"","Network activity","1","","","","103.105.153.149","","ip-dst",""
"","Network activity","1","","","","103.12.163.93","","ip-dst",""
"","Network activity","60","","","","103.129.97.182","","ip-dst",""
"","Network activity","1","","","","103.131.164.17","","ip-dst",""
"","Network activity","1","","","","103.176.129.147","","ip-dst",""
"","Network activity","40","","","","103.198.130.148","","ip-dst",""
"","Network activity","40","","","","103.20.222.0","","ip-dst",""
"","Network activity","40","","","","103.226.127.47","","ip-dst",""
"","Network activity","40","","","","103.226.132.7","","ip-dst",""
"","Network activity","100","","","","103.229.124.1","","ip-dst",""
"","Network activity","40","","","","103.245.77.113","","ip-dst",""
"","Network activity","40","","","","103.254.16.168","","ip-dst",""
"","Network activity","40","","","","103.3.77.219","","ip-dst",""
"","Network activity","100","","","","103.39.78.131","","ip-dst",""
"","Network activity","40","","","","103.56.233.78","","ip-dst",""
"","Network activity","40","","","","103.58.144.249","","ip-dst",""
"","Network activity","40","","","","103.75.189.74","","ip-dst",""
"","Network activity","40","","","","103.75.191.177","","ip-dst",""
"","Network activity","40","","","","103.75.191.75","","ip-dst",""
"","Network activity","100","","","","103.77.192.219","","ip-dst",""
"","Network activity","1","","","","103.91.81.95","","ip-dst",""
"","Network activity","60","","","","","104-168-237-21.sslip.io","hostname",""
"","Network activity","40","","","","104.131.182.74","","ip-dst",""
"","Network activity","100","","","","104.140.114.110","","ip-dst",""
"","Network activity","1","","","","104.152.52.251","","ip-dst",""
"","Network activity","40","","","","104.156.239.105","","ip-dst",""
"","Network activity","60","","","","104.156.240.212","","ip-dst",""
"","Network activity","60","","","","104.21.49.220","","ip-dst",""
"","Network activity","1","","","","104.210.60.82","","ip-dst",""
"","Network activity","60","","","","104.219.250.16","","ip-dst",""
"","Network activity","60","","","","104.223.143.132","","ip-dst",""
"","Network activity","60","","","","104.232.35.136","","ip-dst",""
"","Network activity","40","","","","104.233.89.76","","ip-dst",""
"","Network activity","40","","","","104.237.218.82","","ip-dst",""
"","Network activity","40","","","","104.237.218.85","","ip-dst",""
"","Network activity","40","","","","104.238.151.101","","ip-dst",""
"","Network activity","40","","","","104.238.185.187","","ip-dst",""
"","Network activity","1","","","","104.238.189.186","","ip-dst",""
"","Network activity","60","","","","104.238.191.204","","ip-dst",""
"","Network activity","40","","","","104.239.213.7","","ip-dst",""
"","Network activity","1","","","","104.248.194.76","","ip-dst",""
"","Network activity","1","","","","104.248.37.25","","ip-dst",""
"","Network activity","100","","","","104.248.49.97","","ip-dst",""
"","Network activity","100","","","","104.25.208.15","","ip-dst",""
"","Network activity","100","","","","104.25.209.15","","ip-dst",""
"","Network activity","60","","","","104.250.153.57","","ip-dst",""
"","Network activity","100","","","","104.250.191.110","","ip-dst",""
"","Network activity","40","","","","105.104.10.115","","ip-dst",""
"","Network activity","60","","","","105.112.101.7","","ip-dst",""
"","Network activity","60","","","","105.112.102.213","","ip-dst",""
"","Network activity","60","","","","105.112.107.100","","ip-dst",""
"","Network activity","60","","","","105.112.109.252","","ip-dst",""
"","Network activity","60","","","","105.112.113.164","","ip-dst",""
"","Network activity","60","","","","105.112.113.250","","ip-dst",""
"","Network activity","60","","","","105.112.114.120","","ip-dst",""
"","Network activity","60","","","","105.112.115.230","","ip-dst",""
"","Network activity","60","","","","105.112.115.4","","ip-dst",""
"","Network activity","60","","","","105.112.117.199","","ip-dst",""
"","Network activity","60","","","","105.112.121.59","","ip-dst",""
"","Network activity","60","","","","105.112.144.173","","ip-dst",""
"","Network activity","60","","","","105.112.144.56","","ip-dst",""
"","Network activity","60","","","","105.112.144.77","","ip-dst",""
"","Network activity","60","","","","105.112.145.6","","ip-dst",""
"","Network activity","60","","","","105.112.147.156","","ip-dst",""
"","Network activity","60","","","","105.112.147.20","","ip-dst",""
"","Network activity","60","","","","105.112.148.252","","ip-dst",""
"","Network activity","60","","","","105.112.148.60","","ip-dst",""
"","Network activity","60","","","","105.112.150.35","","ip-dst",""
"","Network activity","60","","","","105.112.178.164","","ip-dst",""
"","Network activity","60","","","","105.112.26.202","","ip-dst",""
"","Network activity","60","","","","105.112.32.44","","ip-dst",""
"","Network activity","60","","","","105.112.33.155","","ip-dst",""
"","Network activity","60","","","","105.112.33.233","","ip-dst",""
"","Network activity","60","","","","105.112.33.40","","ip-dst",""
"","Network activity","60","","","","105.112.35.117","","ip-dst",""
"","Network activity","60","","","","105.112.37.192","","ip-dst",""
"","Network activity","60","","","","105.112.37.193","","ip-dst",""
"","Network activity","60","","","","105.112.37.222","","ip-dst",""
"","Network activity","60","","","","105.112.38.173","","ip-dst",""
"","Network activity","60","","","","105.112.38.201","","ip-dst",""
"","Network activity","60","","","","105.112.38.218","","ip-dst",""
"","Network activity","60","","","","105.112.38.249","","ip-dst",""
"","Network activity","60","","","","105.112.39.130","","ip-dst",""
"","Network activity","60","","","","105.112.39.167","","ip-dst",""
"","Network activity","60","","","","105.112.41.0","","ip-dst",""
