domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.194.178.116,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.215.104.130,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.215.104.33,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.215.112.46,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.215.230.46,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.36.43.143,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.57.208.203,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.142.234.157,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.20.44.214,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.21.11.23,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.234.106.178,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.234.135.119,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.234.135.45,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.234.151.11,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.234.161.104,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.234.164.25,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.234.185.46,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.234.56.202,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.234.67.107,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.76.229.77,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.92.217.43,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,179.113.112.168,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,179.167.135.167,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,179.80.191.221,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,18.204.229.64,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,18.206.96.252,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,18.209.49.155,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,18.234.48.172,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,180.175.229.15,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,182.241.22.226,,ip,
